No,Code,CompanyName,DateRecording,stocks,recordingboard
311,INDR,Indo-Rama Synthetics Tbk.,03 Ags 1990,654.351.707,Utama
312,INDS,Indospring Tbk.,10 Ags 1990,656.249.710,Utama
313,INDX,Tanah Laut Tbk,17 Mei 2001,437.913.588,Pengembangan
314,INDY,Indika Energy Tbk.,11 Jun 2008,5.210.192.000,Utama
315,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,5.470.982.941,Utama
316,INOV,Inocycle Technology Group Tbk.,10 Jul 2019,1.808.221.900,Pengembangan
317,INPC,Bank Artha Graha Internasional,23 Ags 1990,15.638.233.267,Utama
318,INPP,Indonesian Paradise Property T,01 Des 2004,11.181.971.732,Pengembangan
319,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,650.000.000,Pengembangan
320,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,1.388.883.283,Pengembangan
321,INTA,Intraco Penta Tbk.,23 Ags 1993,3.343.935.022,Pengembangan
322,INTD,Inter Delta Tbk,18 Des 1989,591.828.000,Pengembangan
323,INTP,Indocement Tunggal Prakarsa Tb,05 Des 1989,3.681.231.699,Utama
324,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,1.818.384.820,Utama
325,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5.284.811.100,Pengembangan
326,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,6.443.379.509,Utama
327,IPTV,MNC Vision Networks Tbk.,08 Jul 2019,41.514.046.639,Utama
328,IRRA,Itama Ranoraya Tbk.,15 Okt 2019,1.600.000.000,Pengembangan
329,ISAT,Indosat Tbk.,19 Okt 1994,5.433.933.500,Utama
330,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,7.185.992.035,Utama
331,ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,940.720.000,Pengembangan
332,ITMA,Sumber Energi Andalan Tbk.,10 Des 1990,870.701.000,Pengembangan
333,ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,1.129.925.000,Utama
334,JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,813.626.700,Pengembangan
335,JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,3.774.685.500,Utama
336,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,375.000.105,Pengembangan
337,JECC,Jembo Cable Company Tbk.,18 Nov 1992,151.200.000,Pengembangan
338,JGLE,Graha Andrasentra Propertindo,29 Jun 2016,22.581.909.405,Pengembangan
339,JIHD,Jakarta International Hotels &,29 Feb 1984,2.329.040.482,Pengembangan
340,JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,16.308.519.860,Utama
341,JKSW,Jakarta Kyoei Steel Works Tbk.,06 Ags 1997,150.000.000,Pengembangan
342,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1.000.000.000,Pengembangan
343,JPFA,Japfa Comfeed Indonesia Tbk.,23 Okt 1989,11.726.575.201,Utama
344,JRPT,Jaya Real Property Tbk.,29 Jun 1994,13.750.000.000,Utama
345,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,2.032.540.000,Utama
346,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,7.257.871.200,Utama
347,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,2.318.736.000,Pengembangan
348,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,1.713.012.500,Pengembangan
349,KAEF,Kimia Farma Tbk.,04 Jul 2001,5.554.000.000,Utama
350,KARW,ICTSI Jasa Prima Tbk.,20 Des 1994,587.152.700,Pengembangan
351,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,665.000.000,Pengembangan
352,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,7.150.000.007,Pengembangan
353,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,4.007.235.107,Utama
354,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,1.120.000.000,Pengembangan
355,KBLV,First Media Tbk.,25 Feb 2000,1.742.167.907,Pengembangan
356,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,8.687.995.734,PENGEMBANGAN
357,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,405.000.000,Pengembangan
358,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,3.666.312.500,Utama
359,KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,1.500.000.000,Pengembangan
360,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14.929.100.000,Pengembangan
361,KICI,Kedaung Indah Can Tbk,28 Okt 1993,276.000.000,Utama
362,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,20.824.888.369,Utama
363,KINO,Kino Indonesia Tbk.,11 Des 2015,1.428.571.500,Utama
364,KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,717.239.900,Pengembangan
365,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,500.000.000,Pengembangan
366,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,5.000.000.000,Utama
367,KLBF,Kalbe Farma Tbk.,30 Jul 1991,46.875.122.110,Utama
368,KMDS,Kurniamitra Duta Sentosa Tbk.,07 Sep 2020,800.000.000,Pengembangan
369,KMTR,Kirana Megatara Tbk.,19 Jun 2017,8.215.366.379,Pengembangan
370,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,2.272.500.000,Utama
371,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,980.843.732,Pengembangan
372,KONI,Perdana Bangun Pusaka Tbk,22 Ags 1995,249.005.000,Pengembangan
373,KOPI,Mitra Energi Persada Tbk.,23 Apr 2001,697.266.668,Pengembangan
374,KOTA,DMS Propertindo Tbk.,09 Jul 2019,10.546.043.868,Utama
375,KPAL,Steadfast Marine Tbk.,08 Jun 2018,1.069.009.400,Utama
376,KPAS,Cottonindo Ariesta Tbk.,05 Okt 2018,768.042.882,Pengembangan
377,KPIG,MNC Land Tbk.,30 Mar 2000,80.625.726.664,Pengembangan
378,KRAH,Grand Kartech Tbk.,08 Nov 2013,971.190.000,Pengembangan
379,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,19.346.396.900,Utama
380,KREN,Kresna Graha Investama Tbk.,28 Jun 2002,18.208.470.100,Utama
381,LAND,Trimitra Propertindo Tbk.,23 Ags 2018,2.792.620.000,Pengembangan
382,LAPD,Leyand International Tbk.,17 Jul 2001,3.966.350.139,Pengembangan
383,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,5.630.000.914,Pengembangan
384,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,1.000.000.000,Pengembangan
385,LEAD,Logindo Samudramakmur Tbk.,11 Des 2013,4.049.616.328,Utama
386,LIFE,Asuransi Jiwa Sinarmas MSIG Tb,09 Jul 2019,2.100.000.000,Utama
387,LINK,Link Net Tbk.,02 Jun 2014,2.863.195.484,Utama
388,LION,Lion Metal Works Tbk.,20 Ags 1993,520.160.000,Utama
389,LMAS,Limas Indonesia Makmur Tbk,28 Des 2001,787.851.525,Pengembangan
390,LMPI,Langgeng Makmur Industri Tbk.,17 Okt 1994,1.008.517.669,Pengembangan
391,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,96.000.000,Pengembangan
392,LPCK,Lippo Cikarang Tbk,24 Jul 1997,2.679.600.000,Utama
393,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,150.000.000,Utama
394,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,425.000.000,Pengembangan
395,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,70.898.018.369,Utama
396,LPLI,Star Pacific Tbk,23 Okt 1989,1.170.432.803,Pengembangan
397,LPPF,Matahari Department Store Tbk.,10 Okt 1989,2.626.148.780,Utama
398,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,2.588.250.000,Pengembangan
399,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,350.000.022,Pengembangan
400,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,6.822.863.965,Utama
401,LTLS,Lautan Luas Tbk.,21 Jul 1997,1.560.000.000,Utama
402,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,715.749.640,Pengembangan
403,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,15.365.229.912,PENGEMBANGAN
404,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,9.000.000.004,Pengembangan
405,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,2.238.750.000,Utama
406,MAMI,Mas Murni Indonesia Tbk,09 Feb 1994,12.299.116.371,Utama
407,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,2.850.400.000,Pengembangan
408,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,2.170.922.900,Pengembangan
409,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,16.600.000.000,Utama
410,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,5.252.644.000,Pengembangan
411,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,3.800.000.310,Utama
412,MASA,Multistrada Arah Sarana Tbk.,09 Jun 2005,9.182.946.945,Utama
413,MAYA,Bank Mayapada Internasional Tb,29 Ags 1997,6.764.086.593,Utama
414,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,1.227.271.952,Pengembangan
415,MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,1.750.026.639,Utama
416,MBTO,Martina Berto Tbk.,13 Jan 2011,1.070.000.000,Utama
417,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,867.933.300,Pengembangan
418,MCOR,Bank China Construction Bank I,03 Jul 2007,37.540.533.209,Utama
419,MDIA,Intermedia Capital Tbk.,11 Apr 2014,39.215.538.400,Utama
420,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,21.897.591.650,Pengembangan
421,MDKI,Emdeki Utama Tbk.,25 Sep 2017,2.530.150.002,Pengembangan
422,MDLN,Modernland Realty Tbk.,18 Jan 1993,12.533.067.322,Utama
423,MDRN,Modern Internasional Tbk.,16 Jul 1991,7.632.167.798,Utama
424,MEDC,Medco Energi Internasional Tbk,12 Okt 1994,25.136.231.252,Utama
425,MEGA,Bank Mega Tbk.,17 Apr 2000,6.894.138.227,Utama
426,MERK,Merck Tbk.,23 Jul 1981,448.000.000,Pengembangan
427,META,Nusantara Infrastructure Tbk.,18 Jul 2001,17.710.708.194,Utama
428,MFIN,Mandala Multifinance Tbk.,06 Sep 2005,2.650.000.000,Pengembangan
429,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757.581.000,Pengembangan
430,MGNA,Magna Investama Mandiri Tbk.,07 Jul 2014,1.003.080.977,Pengembangan
431,MGRO,Mahkota Group Tbk.,12 Jul 2018,3.554.445.700,Utama
432,MICE,Multi Indocitra Tbk.,21 Des 2005,600.000.000,Pengembangan
433,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,2.882.353.000,Pengembangan
434,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,14.246.349.500,Utama
435,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,6.562.500.000,Pengembangan
436,MIRA,Mitra International Resources,30 Jan 1997,3.961.452.039,Pengembangan
437,MITI,Mitra Investindo Tbk.,16 Jul 1997,564.620.320,Pengembangan
438,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5.000.000.000,Pengembangan
439,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,948.194.000,Pengembangan
440,MLBI,Multi Bintang Indonesia Tbk.,15 Des 1981,2.107.000.000,Utama
441,MLIA,Mulia Industrindo Tbk,17 Jan 1994,1.323.000.000,Pengembangan
442,MLPL,Multipolar Tbk.,06 Nov 1989,14.639.632.470,Utama
443,MLPT,Multipolar Technology Tbk.,08 Jul 2013,1.875.000.000,Utama
444,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,Pengembangan
445,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,15.049.787.710,Utama
446,MOLI,Madusari Murni Indah Tbk.,30 Ags 2018,2.334.888.498,Pengembangan
447,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.462.963.276,Utama
448,MPOW,Megapower Makmur Tbk.,06 Jul 2017,816.997.053,Pengembangan
449,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,7.529.147.920,Utama
450,MPRO,Maha Properti Indonesia Tbk.,09 Okt 2018,9.942.500.000,Pengembangan
451,MRAT,Mustika Ratu Tbk.,27 Jul 1995,428.000.000,Utama
452,MREI,Maskapai Reasuransi Indonesia,04 Sep 1989,517.791.681,Pengembangan
453,MSIN,MNC Studios International Tbk.,08 Jun 2018,10.404.000.000,Utama
454,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,1.994.370.480,Utama
455,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,2.455.376.917,Utama
456,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,31.842.082.852,Pengembangan
457,MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,Utama
458,MTPS,Meta Epsi Tbk.,10 Apr 2019,2.084.850.829,Pengembangan
459,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,Pengembangan
460,MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,Pengembangan
461,MTWI,Malacca Trust Wuwungan Insuran,11 Okt 2017,1.525.819.116,Pengembangan
462,MYOH,Samindo Resources Tbk.,27 Jul 2000,2.206.312.500,Utama
463,MYOR,Mayora Indah Tbk.,04 Jul 1990,22.358.699.725,Utama
464,MYRX,Hanson International Tbk.,31 Okt 1990,86.703.220.792,Pengembangan
465,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,7.747.281.949,Utama
466,NASA,Andalan Perkasa Abadi Tbk.,07 Ags 2017,11.004.929.322,Pengembangan
467,NATO,Surya Permata Andalan Tbk.,18 Jan 2019,8.001.092.004,Pengembangan
468,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,Pengembangan
469,NFCX,NFC Indonesia Tbk.,12 Jul 2018,666.667.500,Pengembangan
470,NICK,Charnic Capital Tbk.,02 Mei 2018,651.150.000,Pengembangan
471,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2.523.350.000,Utama
472,NIPS,Nipress Tbk.,24 Jul 1991,1.635.333.332,Pengembangan
473,NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,Pengembangan
474,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,Utama
475,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,4.393.533.177,Utama
476,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,Utama
477,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,7.700.000.148,Pengembangan
478,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,2.197.540.705,Utama
479,OASA,Protech Mitra Perkasa Tbk.,18 Jul 2016,358.600.000,Pengembangan
480,OCAP,Onix Capital Tbk.,10 Nov 2003,273.200.000,Pengembangan
481,OKAS,Ancora Indonesia Resources Tbk,17 Apr 2006,1.765.927.777,Pengembangan
482,OMRE,Indonesia Prima Property Tbk,22 Ags 1994,1.745.000.000,Pengembangan
483,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,1.000.000.000,Pengembangan
484,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,11.307.246.524,Utama
485,PALM,Provident Agro Tbk.,08 Okt 2012,7.119.540.356,Pengembangan
486,PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,3.125.000.000,Utama
487,PANI,Pratama Abadi Nusa Industri Tb,18 Sep 2018,410.000.000,Pengembangan
488,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,1.200.000.000,Utama
489,PANS,Panin Sekuritas Tbk.,31 Mei 2000,720.000.000,Utama
490,PBID,Panca Budi Idaman Tbk.,13 Des 2017,1.875.000.000,Utama
491,PBRX,Pan Brothers Tbk.,16 Ags 1990,6.478.295.611,Utama
492,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,1.500.000.000,Utama
493,PCAR,Prima Cakrawala Abadi Tbk.,29 Des 2017,1.166.666.700,Pengembangan
494,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,715.000.000,Pengembangan
495,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,2.833.417.056,Pengembangan
496,PEHA,Phapros Tbk.,01 Jan 1911,840.000.000,Utama
497,PGAS,Perusahaan Gas Negara Tbk.,15 Des 2003,24.241.508.196,Utama
498,PGJO,Tourindo Guide Indonesia Tbk.,08 Jan 2020,306.250.000,Akselerasi
499,PGLI,Pembangunan Graha Lestari Inda,11 Mei 2000,488.000.000,Pengembangan
500,PGUN,Pradiksi Gunatama Tbk.,07 Jul 2020,4.998.360.000,Utama
501,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,568.375.000,Pengembangan
502,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,1.599.999.996,Utama
503,PKPK,Perdana Karya Perkasa Tbk,11 Jul 2007,600.000.000,Pengembangan
504,PLAN,Planet Properindo Jaya Tbk.,15 Sep 2020,892.856.800,Akselerasi
505,PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,Pengembangan
506,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,Utama
507,PMJS,Putra Mandiri Jembar Tbk.,18 Des 2019,13.755.600.000,Pengembangan
508,PMMP,Panca Mitra Multiperdana Tbk.,18 Des 2020,2.353.000.000,Utama
509,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,Utama
510,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,38.425.504.906,Utama
511,PNGO,Pinago Utama Tbk.,31 Ags 2020,781.250.000,Pengembangan
512,PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,Utama
513,PNLF,Panin Financial Tbk.,14 Jun 1983,32.022.073.293,Utama
514,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797.813.496,Pengembangan
515,POLA,Pool Advista Finance Tbk.,16 Nov 2018,2.727.886.300,Pengembangan
516,POLI,Pollux Investasi Internasional,10 Jan 2019,2.010.526.400,Pengembangan
517,POLL,Pollux Properti Indonesia Tbk.,11 Jul 2018,8.318.823.600,Utama
518,POLU,Golden Flower Tbk.,26 Jun 2019,750.000.000,Pengembangan
519,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,2.495.753.334,Pengembangan
520,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.341.366.264,Pengembangan
521,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2.813.941.985,Pengembangan
522,POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,8.388.870.106,Pengembangan
523,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,16.087.156.000,Pengembangan
524,PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,750.000.000,Akselerasi
525,PPRE,PP Presisi Tbk.,24 Nov 2017,10.224.271.000,Utama
526,PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,Utama
527,PRAS,Prima Alloy Steel Universal Tb,12 Jul 1990,701.043.478,Utama
528,PRDA,Prodia Widyahusada Tbk.,07 Des 2016,937.500.000,Utama
529,PRIM,Royal Prima Tbk.,15 Mei 2018,3.393.432.705,Pengembangan
530,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,26.460.000.000,Pengembangan
531,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1.440.000.000,Pengembangan
532,PSGO,Palma Serasih Tbk.,25 Nov 2019,18.850.000.000,Pengembangan
533,PSKT,Red Planet Indonesia Tbk.,29 Sep 1995,10.351.231.636,Pengembangan
534,PSSI,Pelita Samudera Shipping Tbk.,05 Des 2017,5.417.063.153,Utama
535,PTBA,Bukit Asam Tbk.,23 Des 2002,11.520.659.250,Utama
536,PTDU,Djasa Ubersakti Tbk.,08 Des 2020,1.500.000.000,Pengembangan
537,PTIS,Indo Straits Tbk.,12 Jul 2011,550.165.300,Utama
538,PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,Utama
539,PTPW,Pratama Widya Tbk.,07 Feb 2020,878.187.500,Pengembangan
540,PTRO,Petrosea Tbk.,21 Mei 1990,1.008.605.000,Utama
541,PTSN,Sat Nusapersada Tbk,08 Nov 2007,5.314.344.000,Utama
542,PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,220.808.000,Pengembangan
543,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,329.560.000,Utama
544,PURA,Putra Rajawali Kencana Tbk.,29 Jan 2020,5.655.818.465,Pengembangan
545,PURE,Trinitan Metals and Minerals T,09 Okt 2019,1.333.333.505,Utama
546,PURI,Puri Global Sukses Tbk.,08 Sep 2020,1.000.000.000,Pengembangan
547,PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,Utama
548,PYFA,Pyridam Farma Tbk,16 Okt 2001,535.080.000,Pengembangan
549,PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,3.021.875.000,Utama
550,RAJA,Rukun Raharja Tbk.,19 Apr 2006,4.227.082.500,Utama
551,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,7.096.000.000,Utama
552,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,1.564.487.500,Utama
553,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,Utama
554,RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,Utama
555,REAL,Repower Asia Indonesia Tbk.,06 Des 2019,6.633.610.151,Pengembangan
556,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,Utama
557,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,641.717.510,Utama
558,RIGS,Rig Tenders Indonesia Tbk.,05 Mar 1990,609.130.000,Pengembangan
559,RIMO,Rimo International Lestari Tbk,10 Nov 2000,45.080.600.000,Pengembangan
560,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,9.950.000.000,Utama
561,RMBA,Bentoel Internasional Investam,05 Mar 1990,36.401.136.250,Utama
562,ROCK,Rockfields Properti Indonesia,10 Sep 2020,1.435.185.100,Pengembangan
563,RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,Pengembangan
564,RONY,Aesler Grup Internasional Tbk.,09 Apr 2020,1.250.000.000,Pengembangan
565,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,6.186.488.888,Utama
566,RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,770.000.000,Pengembangan
567,SAFE,Steady Safe Tbk,15 Ags 1994,615.145.012,Pengembangan
568,SAME,Sarana Meditama Metropolitan T,11 Jan 2013,5.900.000.000,Pengembangan
569,SAMF,Saraswanti Anugerah Makmur Tbk,31 Mar 2020,5.125.000.000,Utama
570,SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,833.333.300,Pengembangan
571,SATU,Kota Satu Properti Tbk.,05 Nov 2018,1.375.000.000,Pengembangan
572,SBAT,Sejahtera Bintang Abadi Textil,08 Apr 2020,2.125.166.005,Pengembangan
573,SCCO,Supreme Cable Manufacturing &,20 Jul 1982,205.583.400,Utama
574,SCMA,Surya Citra Media Tbk.,16 Jul 2002,14.779.091.301,Utama
575,SCNP,Selaras Citra Nusantara Perkas,07 Sep 2020,2.500.000.000,Pengembangan
576,SCPI,Merck Sharp Dohme Pharma Tbk.,08 Jun 1990,3.600.000,Pengembangan
577,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,1.135.225.000,Pengembangan
578,SDPC,Millennium Pharmacon Internati,07 Mei 1990,1.274.000.000,Utama
579,SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,6.515.116.991,Utama
580,SFAN,Surya Fajar Capital Tbk.,19 Jun 2019,1.359.934.021,Pengembangan
581,SGER,Sumber Global Energy Tbk.,10 Ags 2020,1.664.000.000,Pengembangan
582,SGRO,Sampoerna Agro Tbk.,18 Jun 2007,1.890.000.000,Utama
583,SHID,Hotel Sahid Jaya International,08 Mei 1990,1.119.326.168,Pengembangan
584,SHIP,Sillo Maritime Perdana Tbk.,16 Jun 2016,2.719.790.000,Pengembangan
585,SIDO,Industri Jamu dan Farmasi Sido,18 Des 2013,30.000.000.000,Utama
586,SILO,Siloam International Hospitals,12 Sep 2013,1.625.765.625,Utama
587,SIMA,Siwani Makmur Tbk,03 Jun 1994,442.589.871,PENGEMBANGAN
588,SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,15.816.310.000,Utama
589,SINI,Singaraja Putra Tbk.,08 Nov 2019,464.786.250,Pengembangan
590,SIPD,Sreeya Sewu Indonesia Tbk.,27 Des 1996,1.339.102.579,Pengembangan
591,SKBM,Sekar Bumi Tbk.,05 Jan 1993,1.726.003.217,Pengembangan
592,SKLT,Sekar Laut Tbk.,08 Sep 1993,690.740.500,Pengembangan
593,SKRN,Superkrane Mitra Utama Tbk.,11 Okt 2018,1.500.000.000,Pengembangan
594,SKYB,Northcliff Citranusa Indonesia,07 Jul 2010,585.000.000,Pengembangan
595,SLIS,Gaya Abadi Sempurna Tbk.,07 Okt 2019,2.000.000.000,Pengembangan
596,SMAR,Smart Tbk.,20 Nov 1992,2.872.193.366,Pengembangan
597,SMBR,Semen Baturaja (Persero) Tbk.,28 Jun 2013,9.932.534.336,Utama
598,SMCB,Solusi Bangun Indonesia Tbk.,10 Ags 1977,7.662.900.000,Utama
599,SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,4.772.138.237,Pengembangan
600,SMDR,Samudera Indonesia Tbk.,05 Des 1999,3.275.120.000,Utama
601,SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,5.931.520.000,Utama
602,SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,3.400.000.005,Utama
603,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,6.367.664.717,Utama
604,SMMT,Golden Eagle Energy Tbk.,29 Feb 2000,3.150.000.000,Pengembangan
605,SMRA,Summarecon Agung Tbk.,07 Mei 1990,14.426.781.680,Utama
606,SMRU,SMR Utama Tbk.,10 Okt 2011,12.499.385.782,Pengembangan
607,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,5.758.675.440,Utama
608,SOCI,Soechi Lines Tbk.,03 Des 2014,7.059.000.000,Utama
609,SOFA,Boston Furniture Industries Tb,07 Jul 2020,1.650.000.000,Akselerasi
610,SOHO,Soho Global Health Tbk.,08 Sep 2020,1.269.168.239,Utama
611,SONA,Sona Topas Tourism Industry Tb,21 Jul 1992,331.200.000,Utama
612,SOSS,Shield On Service Tbk.,06 Nov 2018,657.017.005,Pengembangan
613,SOTS,Satria Mega Kencana Tbk.,10 Des 2018,1.000.000.005,Pengembangan
614,SPMA,Suparma Tbk.,16 Nov 1994,2.114.570.958,Utama
615,SPTO,Surya Pertiwi Tbk.,14 Mei 2018,2.700.000.000,Pengembangan
616,SQMI,Wilton Makmur Indonesia Tbk.,15 Jul 2004,15.537.591.429,Pengembangan
617,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,12.000.705.445,Utama
618,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,20.452.176.844,Utama
619,SRSN,Indo Acidatama Tbk,11 Jan 1993,6.020.000.000,Utama
620,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,2.712.967.000,Pengembangan
621,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,4.705.249.440,Utama
622,SSMS,Sawit Sumbermas Sarana Tbk.,12 Des 2013,9.525.000.000,Utama
623,SSTM,Sunson Textile Manufacture Tbk,20 Ags 1997,1.170.909.181,Pengembangan
